dateday,year,month,weekday,windspeed,count
2011-03-06,2011,Mar,weekend,0.343287,605
2011-03-07,2011,Mar,weekday,0.341352,1872
2011-03-08,2011,Mar,weekday,0.12065,2133
2011-03-09,2011,Mar,weekday,0.22015,1891
2011-03-10,2011,Mar,weekday,0.261877,623
2011-03-11,2011,Mar,weekday,0.23297,1977
2011-03-12,2011,Mar,weekend,0.220775,2132
2011-03-13,2011,Mar,weekend,0.270604,2417
2011-03-14,2011,Mar,weekday,0.136926,2046
2011-03-15,2011,Mar,weekday,0.184309,2056
2011-03-16,2011,Mar,weekday,0.203117,2192
2011-03-17,2011,Mar,weekday,0.209579,2744
2011-03-18,2011,Mar,weekday,0.231017,3239
2011-03-19,2011,Mar,weekend,0.368167,3117
2011-03-20,2011,Mar,weekend,0.207721,2471
2011-03-21,2011,Mar,weekday,0.288783,2077
2011-03-22,2011,Mar,weekday,0.22575,2703
2011-03-23,2011,Mar,weekday,0.234261,2121
2011-03-24,2011,Mar,weekday,0.243787,1865
2011-03-25,2011,Mar,weekday,0.230725,2210
2011-03-26,2011,Mar,weekend,0.209571,2496
2011-03-27,2011,Mar,weekend,0.1843,1693
2011-03-28,2011,Mar,weekday,0.212204,2028
2011-03-29,2011,Mar,weekday,0.226996,2425
2011-03-30,2011,Mar,weekday,0.172888,1536
2011-03-31,2011,Mar,weekday,0.217646,1685
2011-04-01,2011,Apr,weekday,0.258708,2227
2011-04-02,2011,Apr,weekend,0.197146,2252
2011-04-03,2011,Apr,weekend,0.182213,3249
2011-04-04,2011,Apr,weekday,0.385571,3115
2011-04-05,2011,Apr,weekday,0.388067,1795
2011-04-06,2011,Apr,weekday,0.263063,2808
2011-04-07,2011,Apr,weekday,0.162312,3141
2011-04-08,2011,Apr,weekday,0.226992,1471
2011-04-09,2011,Apr,weekend,0.133083,2455
2011-04-10,2011,Apr,weekend,0.146767,2895
2011-04-11,2011,Apr,weekday,0.324474,3348
2011-04-12,2011,Apr,weekday,0.274879,2034
2011-04-13,2011,Apr,weekday,0.250617,2162
2011-04-14,2011,Apr,weekday,0.1107,3267
2011-04-15,2011,Apr,weekday,0.226375,3126
2011-04-16,2011,Apr,weekend,0.340808,795
2011-04-17,2011,Apr,weekend,0.303496,3744
2011-04-18,2011,Apr,weekday,0.163567,3429
2011-04-19,2011,Apr,weekday,0.157971,3204
2011-04-20,2011,Apr,weekday,0.241925,3944
2011-04-21,2011,Apr,weekday,0.325258,4189
2011-04-22,2011,Apr,weekday,0.219521,1683
2011-04-23,2011,Apr,weekend,0.230725,4036
2011-04-24,2011,Apr,weekend,0.192175,4191
2011-04-25,2011,Apr,weekday,0.185333,4073
2011-04-26,2011,Apr,weekday,0.3265,4400
2011-04-27,2011,Apr,weekday,0.3122,3872
2011-04-28,2011,Apr,weekday,0.320908,4058
2011-04-29,2011,Apr,weekday,0.240063,4595
2011-04-30,2011,Apr,weekend,0.235075,5312
2011-05-01,2011,May,weekend,0.106354,3351
2011-05-02,2011,May,weekday,0.183454,4401
2011-05-03,2011,May,weekday,0.342667,4451
2011-05-04,2011,May,weekday,0.328996,2633
2011-05-05,2011,May,weekday,0.295392,4433
2011-05-06,2011,May,weekday,0.228246,4608
2011-05-07,2011,May,weekend,0.16045,4714
2011-05-08,2011,May,weekend,0.0746375,4333
2011-05-09,2011,May,weekday,0.176,4362
2011-05-10,2011,May,weekday,0.115671,4803
2011-05-11,2011,May,weekday,0.120642,4182
2011-05-12,2011,May,weekday,0.189667,4864
2011-05-13,2011,May,weekday,0.179725,4105
2011-05-14,2011,May,weekend,0.13495,3409
2011-05-15,2011,May,weekend,0.152979,4553
2011-05-16,2011,May,weekday,0.126871,3958
2011-05-17,2011,May,weekday,0.277354,4123
2011-05-18,2011,May,weekday,0.201492,3855
2011-05-19,2011,May,weekday,0.108213,4575
2011-05-20,2011,May,weekday,0.125013,4917
2011-05-21,2011,May,weekend,0.12065,5805
2011-05-22,2011,May,weekend,0.148008,4660
2011-05-23,2011,May,weekday,0.233842,4274
2011-05-24,2011,May,weekday,0.207092,4492
2011-05-25,2011,May,weekday,0.154233,4978
2011-05-26,2011,May,weekday,0.199642,4677
2011-05-27,2011,May,weekday,0.240679,4679
2011-05-28,2011,May,weekend,0.230092,4758
2011-05-29,2011,May,weekend,0.213938,4788
2011-05-30,2011,May,weekday,0.131225,4098
2011-05-31,2011,May,weekday,0.111329,3982
2011-06-01,2011,Jun,weekday,0.207092,3974
2011-06-02,2011,Jun,weekday,0.292287,4968
2011-06-03,2011,Jun,weekday,0.253121,5312
2011-06-04,2011,Jun,weekend,0.123142,5342
2011-06-05,2011,Jun,weekend,0.138692,4906
2011-06-06,2011,Jun,weekday,0.121896,4548
2011-06-07,2011,Jun,weekday,0.187808,4833
2011-06-08,2011,Jun,weekday,0.136817,4401
2011-06-09,2011,Jun,weekday,0.149883,3915
2011-06-10,2011,Jun,weekday,0.140554,4586
2011-06-11,2011,Jun,weekend,0.15485,4966
2011-06-12,2011,Jun,weekend,0.163567,4460
2011-06-13,2011,Jun,weekday,0.30535,5020
2011-06-14,2011,Jun,weekday,0.269283,4891
2011-06-15,2011,Jun,weekday,0.167912,5180
2011-06-16,2011,Jun,weekday,0.206471,3767
2011-06-17,2011,Jun,weekday,0.143029,4844
2011-06-18,2011,Jun,weekend,0.119408,5119
2011-06-19,2011,Jun,weekend,0.102,4744
2011-06-20,2011,Jun,weekday,0.155475,4010
2011-06-21,2011,Jun,weekday,0.171025,4835
2011-06-22,2011,Jun,weekday,0.172262,4507
2011-06-23,2011,Jun,weekday,0.238804,4790
2011-06-24,2011,Jun,weekday,0.222025,4991
2011-06-25,2011,Jun,weekend,0.209571,5202
2011-06-26,2011,Jun,weekend,0.0945333,5305
2011-06-27,2011,Jun,weekday,0.107588,4708
2011-06-28,2011,Jun,weekday,0.144283,4648
2011-06-29,2011,Jun,weekday,0.261821,5225
2011-06-30,2011,Jun,weekday,0.185312,5515
2011-07-01,2011,Jul,weekday,0.102608,5362
2011-07-02,2011,Jul,weekend,0.115062,5119
2011-07-03,2011,Jul,weekend,0.228858,4649
2011-07-04,2011,Jul,weekday,0.0814792,6043
2011-07-05,2011,Jul,weekday,0.126258,4665
2011-07-06,2011,Jul,weekday,0.149883,4629
2011-07-07,2011,Jul,weekday,0.1592,4592
2011-07-08,2011,Jul,weekday,0.225129,4040
2011-07-09,2011,Jul,weekend,0.167912,5336
2011-07-10,2011,Jul,weekend,0.183471,4881
2011-07-11,2011,Jul,weekday,0.282337,4086
2011-07-12,2011,Jul,weekday,0.200254,4258
2011-07-13,2011,Jul,weekday,0.146133,4342
2011-07-14,2011,Jul,weekday,0.240667,5084
2011-07-15,2011,Jul,weekday,0.182833,5538
2011-07-16,2011,Jul,weekend,0.208342,5923
2011-07-17,2011,Jul,weekend,0.245033,5302
2011-07-18,2011,Jul,weekday,0.215804,4458
2011-07-19,2011,Jul,weekday,0.1306,4541
2011-07-20,2011,Jul,weekday,0.113817,4332
2011-07-21,2011,Jul,weekday,0.222021,3784
2011-07-22,2011,Jul,weekday,0.1331,3387
2011-07-23,2011,Jul,weekend,0.131221,3285
2011-07-24,2011,Jul,weekend,0.169171,3606
2011-07-25,2011,Jul,weekday,0.0908083,3840
2011-07-26,2011,Jul,weekday,0.200258,4590
2011-07-27,2011,Jul,weekday,0.183463,4656
2011-07-28,2011,Jul,weekday,0.178479,4390
2011-07-29,2011,Jul,weekday,0.174138,3846
2011-07-30,2011,Jul,weekend,0.168537,4475
2011-07-31,2011,Jul,weekend,0.164813,4302
2011-08-01,2011,Aug,weekday,0.156717,4266
2011-08-02,2011,Aug,weekday,0.20585,4845
2011-08-03,2011,Aug,weekday,0.135583,3574
2011-08-04,2011,Aug,weekday,0.19715,4576
2011-08-05,2011,Aug,weekday,0.184696,4866
2011-08-06,2011,Aug,weekend,0.22825,4294
2011-08-07,2011,Aug,weekend,0.201487,3785
2011-08-08,2011,Aug,weekday,0.192175,4326
2011-08-09,2011,Aug,weekday,0.151121,4602
2011-08-10,2011,Aug,weekday,0.200258,4780
2011-08-11,2011,Aug,weekday,0.164796,4792
2011-08-12,2011,Aug,weekday,0.125621,4905
2011-08-13,2011,Aug,weekend,0.211454,4150
2011-08-14,2011,Aug,weekend,0.222633,3820
2011-08-15,2011,Aug,weekday,0.208954,4338
2011-08-16,2011,Aug,weekday,0.236329,4725
2011-08-17,2011,Aug,weekday,0.143667,4694
2011-08-18,2011,Aug,weekday,0.233208,3805
2011-08-19,2011,Aug,weekday,0.139308,4153
2011-08-20,2011,Aug,weekend,0.104467,5191
2011-08-21,2011,Aug,weekend,0.248754,3873
2011-08-22,2011,Aug,weekday,0.27675,4758
2011-08-23,2011,Aug,weekday,0.146763,5895
2011-08-24,2011,Aug,weekday,0.253108,5130
2011-08-25,2011,Aug,weekday,0.210833,3542
2011-08-26,2011,Aug,weekday,0.0839625,4661
2011-08-27,2011,Aug,weekend,0.375617,1115
2011-08-28,2011,Aug,weekend,0.304659,4334
2011-08-29,2011,Aug,weekday,0.159825,4634
2011-08-30,2011,Aug,weekday,0.125008,5204
2011-08-31,2011,Aug,weekday,0.0833333,5058
2011-09-01,2011,Sep,weekday,0.141796,5115
2011-09-02,2011,Sep,weekday,0.139929,4727
2011-09-03,2011,Sep,weekend,0.185325,4484
2011-09-04,2011,Sep,weekend,0.206467,4940
2011-09-05,2011,Sep,weekday,0.212696,3351
2011-09-06,2011,Sep,weekday,0.343943,2710
2011-09-07,2011,Sep,weekday,0.0970208,1996
2011-09-08,2011,Sep,weekday,0.192748,1842
2011-09-09,2011,Sep,weekday,0.124379,3544
2011-09-10,2011,Sep,weekend,0.153608,5345
2011-09-11,2011,Sep,weekend,0.115054,5046
2011-09-12,2011,Sep,weekday,0.088913,4713
2011-09-13,2011,Sep,weekday,0.141804,4763
2011-09-14,2011,Sep,weekday,0.1673,4785
2011-09-15,2011,Sep,weekday,0.271146,3659
2011-09-16,2011,Sep,weekday,0.164183,4760
2011-09-17,2011,Sep,weekend,0.189675,4511
2011-09-18,2011,Sep,weekend,0.178483,4274
2011-09-19,2011,Sep,weekday,0.151742,4539
2011-09-20,2011,Sep,weekday,0.134954,3641
2011-09-21,2011,Sep,weekday,0.0964042,4352
2011-09-22,2011,Sep,weekday,0.128125,4795
2011-09-23,2011,Sep,weekday,0.0783667,2395
2011-09-24,2011,Sep,weekend,0.0783833,5423
2011-09-25,2011,Sep,weekend,0.0503792,5010
2011-09-26,2011,Sep,weekday,0.1107,4630
2011-09-27,2011,Sep,weekday,0.118171,4120
2011-09-28,2011,Sep,weekday,0.148629,3907
2011-09-29,2011,Sep,weekday,0.172883,4839
2011-09-30,2011,Sep,weekday,0.206475,5202
2011-10-01,2011,Oct,weekend,0.292296,2429
2011-10-02,2011,Oct,weekend,0.222013,2918
2011-10-03,2011,Oct,weekday,0.0833458,3570
2011-10-04,2011,Oct,weekday,0.205854,4456
2011-10-05,2011,Oct,weekday,0.17725,4826
2011-10-06,2011,Oct,weekday,0.134954,4765
2011-10-07,2011,Oct,weekday,0.0223917,4985
2011-10-08,2011,Oct,weekend,0.0454042,5409
2011-10-09,2011,Oct,weekend,0.06345,5511
2011-10-10,2011,Oct,weekday,0.0423042,5117
2011-10-11,2011,Oct,weekday,0.143042,4563
2011-10-12,2011,Oct,weekday,0.24815,2416
2011-10-13,2011,Oct,weekday,0.141787,2913
2011-10-14,2011,Oct,weekday,0.223883,3644
2011-10-15,2011,Oct,weekend,0.258083,5217
2011-10-16,2011,Oct,weekend,0.281717,5041
2011-10-17,2011,Oct,weekday,0.175379,4570
2011-10-18,2011,Oct,weekday,0.110087,4748
2011-10-19,2011,Oct,weekday,0.243339,2424
2011-10-20,2011,Oct,weekday,0.422275,4195
2011-10-21,2011,Oct,weekday,0.221396,4304
2011-10-22,2011,Oct,weekend,0.0926667,4308
2011-10-23,2011,Oct,weekend,0.0995125,4381
2011-10-24,2011,Oct,weekday,0.118792,4187
2011-10-25,2011,Oct,weekday,0.166658,4687
2011-10-26,2011,Oct,weekday,0.148642,3894
2011-10-27,2011,Oct,weekday,0.197763,2659
2011-10-28,2011,Oct,weekday,0.229479,3747
2011-10-29,2011,Oct,weekend,0.351371,627
2011-10-30,2011,Oct,weekend,0.176617,3331
2011-10-31,2011,Oct,weekday,0.10635,3669
2011-11-01,2011,Nov,weekday,0.135571,4068
2011-11-02,2011,Nov,weekday,0.0820917,4186
2011-11-03,2011,Nov,weekday,0.136817,3974
2011-11-04,2011,Nov,weekday,0.271779,4046
2011-11-05,2011,Nov,weekend,0.189062,3926
2011-11-06,2011,Nov,weekend,0.0920542,3649
2011-11-07,2011,Nov,weekday,0.057225,4035
2011-11-08,2011,Nov,weekday,0.0690375,4205
2011-11-09,2011,Nov,weekday,0.0621958,4109
2011-11-10,2011,Nov,weekday,0.189067,2933
2011-11-11,2011,Nov,weekday,0.314675,3368
2011-11-12,2011,Nov,weekend,0.212062,4067
2011-11-13,2011,Nov,weekend,0.281721,3717
2011-11-14,2011,Nov,weekday,0.306596,4486
2011-11-15,2011,Nov,weekday,0.199633,4195
2011-11-16,2011,Nov,weekday,0.136829,1817
2011-11-17,2011,Nov,weekday,0.305362,3053
2011-11-18,2011,Nov,weekday,0.168533,3392
2011-11-19,2011,Nov,weekend,0.224496,3663
2011-11-20,2011,Nov,weekend,0.18595,3520
2011-11-21,2011,Nov,weekday,0.138054,2765
2011-11-22,2011,Nov,weekday,0.118792,1607
2011-11-23,2011,Nov,weekday,0.335825,2566
2011-11-24,2011,Nov,weekday,0.167304,1495
2011-11-25,2011,Nov,weekday,0.0988958,2792
2011-11-26,2011,Nov,weekend,0.0684208,3068
2011-11-27,2011,Nov,weekend,0.208954,3071
2011-11-28,2011,Nov,weekday,0.142122,3867
2011-11-29,2011,Nov,weekday,0.258092,2914
2011-11-30,2011,Nov,weekday,0.271158,3613
2011-12-01,2011,Dec,weekday,0.220158,3727
2011-12-02,2011,Dec,weekday,0.100754,3940
2011-12-03,2011,Dec,weekend,0.0957833,3614
2011-12-04,2011,Dec,weekend,0.0839583,3485
2011-12-05,2011,Dec,weekday,0.0622083,3811
2011-12-06,2011,Dec,weekday,0.232583,2594
2011-12-07,2011,Dec,weekday,0.266175,705
2011-12-08,2011,Dec,weekday,0.240058,3322
2011-12-09,2011,Dec,weekday,0.0827167,3620
2011-12-10,2011,Dec,weekend,0.233221,3190
2011-12-11,2011,Dec,weekend,0.0665417,2743
2011-12-12,2011,Dec,weekday,0.06345,3310
2011-12-13,2011,Dec,weekday,0.14055,3523
2011-12-14,2011,Dec,weekday,0.0609583,3740
2011-12-15,2011,Dec,weekday,0.268042,3709
2011-12-16,2011,Dec,weekday,0.260575,3577
2011-12-17,2011,Dec,weekend,0.243167,2739
2011-12-18,2011,Dec,weekend,0.169779,2431
2011-12-19,2011,Dec,weekday,0.172896,3403
2011-12-20,2011,Dec,weekday,0.0615708,3750
2011-12-21,2011,Dec,weekday,0.2214,2660
2011-12-22,2011,Dec,weekday,0.047275,3068
2011-12-23,2011,Dec,weekday,0.274246,2209
2011-12-24,2011,Dec,weekend,0.190304,1011
2011-12-25,2011,Dec,weekend,0.155091,754
2011-12-26,2011,Dec,weekday,0.239465,1317
2011-12-27,2011,Dec,weekday,0.18845,1162
2011-12-28,2011,Dec,weekday,0.293961,2302
2011-12-29,2011,Dec,weekday,0.119412,2423
2011-12-30,2011,Dec,weekday,0.134337,2999
2011-12-31,2011,Dec,weekend,0.220154,2485
2012-01-01,2012,Jan,weekend,0.192167,2294
2012-01-02,2012,Jan,weekday,0.329665,1951
2012-01-03,2012,Jan,weekday,0.365671,2236
2012-01-04,2012,Jan,weekday,0.1847,2368
2012-01-05,2012,Jan,weekday,0.129987,3272
2012-01-06,2012,Jan,weekday,0.167908,4098
2012-01-07,2012,Jan,weekend,0.174758,4521
2012-01-08,2012,Jan,weekend,0.191542,3425
2012-01-09,2012,Jan,weekday,0.0989,2376
2012-01-10,2012,Jan,weekday,0.187552,3598
2012-01-11,2012,Jan,weekday,0.131221,2177
2012-01-12,2012,Jan,weekday,0.180967,4097
2012-01-13,2012,Jan,weekday,0.378108,3214
2012-01-14,2012,Jan,weekend,0.187183,2493
2012-01-15,2012,Jan,weekend,0.251258,2311
2012-01-16,2012,Jan,weekday,0.231358,2298
2012-01-17,2012,Jan,weekday,0.34913,2935
2012-01-18,2012,Jan,weekday,0.415429,3376
2012-01-19,2012,Jan,weekday,0.220158,3292
2012-01-20,2012,Jan,weekday,0.20275,3163
2012-01-21,2012,Jan,weekend,0.222642,1301
2012-01-22,2012,Jan,weekend,0.199638,1977
2012-01-23,2012,Jan,weekday,0.110708,2432
2012-01-24,2012,Jan,weekday,0.123767,4339
2012-01-25,2012,Jan,weekday,0.161071,4270
2012-01-26,2012,Jan,weekday,0.0733958,4075
2012-01-27,2012,Jan,weekday,0.342667,3456
2012-01-28,2012,Jan,weekend,0.210829,4023
2012-01-29,2012,Jan,weekend,0.24005,3243
2012-01-30,2012,Jan,weekday,0.215792,3624
2012-01-31,2012,Jan,weekday,0.261817,4509
2012-02-01,2012,Feb,weekday,0.189067,4579
2012-02-02,2012,Feb,weekday,0.187187,3761
2012-02-03,2012,Feb,weekday,0.178496,4151
2012-02-04,2012,Feb,weekend,0.121896,2832
2012-02-05,2012,Feb,weekend,0.175996,2947
2012-02-06,2012,Feb,weekday,0.1538,3784
2012-02-07,2012,Feb,weekday,0.147379,4375
2012-02-08,2012,Feb,weekday,0.133721,2802
2012-02-09,2012,Feb,weekday,0.194037,3830
2012-02-10,2012,Feb,weekday,0.116929,3831
2012-02-11,2012,Feb,weekend,0.289796,2169
2012-02-12,2012,Feb,weekend,0.409212,1529
2012-02-13,2012,Feb,weekday,0.167283,3422
2012-02-14,2012,Feb,weekday,0.141179,3922
2012-02-15,2012,Feb,weekday,0.1816,4169
2012-02-16,2012,Feb,weekday,0.091425,3005
2012-02-17,2012,Feb,weekday,0.205846,4154
2012-02-18,2012,Feb,weekend,0.190929,4318
2012-02-19,2012,Feb,weekend,0.253112,2689
2012-02-20,2012,Feb,weekday,0.229083,3129
2012-02-21,2012,Feb,weekday,0.205717,3777
2012-02-22,2012,Feb,weekday,0.234471,4773
2012-02-23,2012,Feb,weekday,0.190913,5062
2012-02-24,2012,Feb,weekday,0.237567,3487
2012-02-25,2012,Feb,weekend,0.421642,2732
2012-02-26,2012,Feb,weekend,0.205229,3389
2012-02-27,2012,Feb,weekday,0.268033,4322
2012-02-28,2012,Feb,weekday,0.193417,4363
2012-02-29,2012,Feb,weekday,0.179117,1834
2012-03-01,2012,Mar,weekday,0.226987,4990
2012-03-02,2012,Mar,weekday,0.144904,3194
2012-03-03,2012,Mar,weekend,0.161079,4066
2012-03-04,2012,Mar,weekend,0.334571,3423
2012-03-05,2012,Mar,weekday,0.228858,3333
2012-03-06,2012,Mar,weekday,0.200875,3956
2012-03-07,2012,Mar,weekday,0.345779,4916
2012-03-08,2012,Mar,weekday,0.441563,5382
2012-03-09,2012,Mar,weekday,0.4148,4569
2012-03-10,2012,Mar,weekend,0.22575,4118
2012-03-11,2012,Mar,weekend,0.222587,4911
2012-03-12,2012,Mar,weekday,0.207713,5298
2012-03-13,2012,Mar,weekday,0.23695,5847
2012-03-14,2012,Mar,weekday,0.115062,6312
2012-03-15,2012,Mar,weekday,0.149883,6192
2012-03-16,2012,Mar,weekday,0.113192,4378
2012-03-17,2012,Mar,weekend,0.110704,7836
2012-03-18,2012,Mar,weekend,0.126883,5892
2012-03-19,2012,Mar,weekday,0.162317,6153
2012-03-20,2012,Mar,weekday,0.121271,6093
2012-03-21,2012,Mar,weekday,0.0895583,6230
2012-03-22,2012,Mar,weekday,0.117562,6871
2012-03-23,2012,Mar,weekday,0.1163,8362
2012-03-24,2012,Mar,weekend,0.192783,3372
2012-03-25,2012,Mar,weekend,0.220775,4996
2012-03-26,2012,Mar,weekday,0.386821,5558
2012-03-27,2012,Mar,weekday,0.187192,5102
2012-03-28,2012,Mar,weekday,0.291671,5698
2012-03-29,2012,Mar,weekday,0.31965,6133
2012-03-30,2012,Mar,weekday,0.138067,5459
2012-03-31,2012,Mar,weekend,0.250617,6235
2012-04-01,2012,Apr,weekend,0.172267,6041
2012-04-02,2012,Apr,weekday,0.312139,5936
2012-04-03,2012,Apr,weekday,0.100133,6772
2012-04-04,2012,Apr,weekday,0.180975,6436
2012-04-05,2012,Apr,weekday,0.219529,6457
2012-04-06,2012,Apr,weekday,0.300388,6460
2012-04-07,2012,Apr,weekend,0.274871,6857
2012-04-08,2012,Apr,weekend,0.232596,5169
2012-04-09,2012,Apr,weekday,0.358196,5585
2012-04-10,2012,Apr,weekday,0.249375,5918
2012-04-11,2012,Apr,weekday,0.295274,4862
2012-04-12,2012,Apr,weekday,0.290429,5409
2012-04-13,2012,Apr,weekday,0.155471,6398
2012-04-14,2012,Apr,weekend,0.190917,7460
2012-04-15,2012,Apr,weekend,0.225129,7132
2012-04-16,2012,Apr,weekday,0.284829,6370
2012-04-17,2012,Apr,weekday,0.273629,6691
2012-04-18,2012,Apr,weekday,0.167912,4367
2012-04-19,2012,Apr,weekday,0.0659292,6565
2012-04-20,2012,Apr,weekday,0.149871,7290
2012-04-21,2012,Apr,weekend,0.283587,6624
2012-04-22,2012,Apr,weekend,0.344546,1027
2012-04-23,2012,Apr,weekday,0.303496,3214
2012-04-24,2012,Apr,weekday,0.249383,5633
2012-04-25,2012,Apr,weekday,0.118792,6196
2012-04-26,2012,Apr,weekday,0.176625,5026
2012-04-27,2012,Apr,weekday,0.347633,6233
2012-04-28,2012,Apr,weekend,0.129975,4220
2012-04-29,2012,Apr,weekend,0.116908,6304
2012-04-30,2012,Apr,weekday,0.171638,5572
2012-05-01,2012,May,weekday,0.156096,5740
2012-05-02,2012,May,weekday,0.138058,6169
2012-05-03,2012,May,weekday,0.133696,6421
2012-05-04,2012,May,weekday,0.162938,6296
2012-05-05,2012,May,weekend,0.152992,6883
2012-05-06,2012,May,weekend,0.149879,6359
2012-05-07,2012,May,weekday,0.230721,6273
2012-05-08,2012,May,weekday,0.296029,5728
2012-05-09,2012,May,weekday,0.216412,4717
2012-05-10,2012,May,weekday,0.314063,6572
2012-05-11,2012,May,weekday,0.236937,7030
2012-05-12,2012,May,weekend,0.123133,7429
2012-05-13,2012,May,weekend,0.225117,6118
2012-05-14,2012,May,weekday,0.212692,2843
2012-05-15,2012,May,weekday,0.147392,5115
2012-05-16,2012,May,weekday,0.122512,7424
2012-05-17,2012,May,weekday,0.229475,7384
2012-05-18,2012,May,weekday,0.136817,7639
2012-05-19,2012,May,weekend,0.083975,8294
2012-05-20,2012,May,weekend,0.254367,7129
2012-05-21,2012,May,weekday,0.233204,4359
2012-05-22,2012,May,weekday,0.118167,6073
2012-05-23,2012,May,weekday,0.102,5260
2012-05-24,2012,May,weekday,0.172896,6770
2012-05-25,2012,May,weekday,0.14055,6734
2012-05-26,2012,May,weekend,0.198992,6536
2012-05-27,2012,May,weekend,0.215171,6591
2012-05-28,2012,May,weekday,0.196521,6043
2012-05-29,2012,May,weekday,0.2954,5743
2012-05-30,2012,May,weekday,0.134329,6855
2012-05-31,2012,May,weekday,0.195279,7338
2012-06-01,2012,Jun,weekday,0.237563,4127
2012-06-02,2012,Jun,weekend,0.186562,8120
2012-06-03,2012,Jun,weekend,0.184087,7641
2012-06-04,2012,Jun,weekday,0.284833,6998
2012-06-05,2012,Jun,weekday,0.209575,7001
2012-06-06,2012,Jun,weekday,0.077125,7055
2012-06-07,2012,Jun,weekday,0.15735,7494
2012-06-08,2012,Jun,weekday,0.175383,7736
2012-06-09,2012,Jun,weekend,0.144287,7498
2012-06-10,2012,Jun,weekend,0.133721,6598
2012-06-11,2012,Jun,weekday,0.207713,6664
2012-06-12,2012,Jun,weekday,0.214546,4972
2012-06-13,2012,Jun,weekday,0.343279,7421
2012-06-14,2012,Jun,weekday,0.253733,7363
2012-06-15,2012,Jun,weekday,0.176617,7665
2012-06-16,2012,Jun,weekend,0.166667,7702
2012-06-17,2012,Jun,weekend,0.144904,6978
2012-06-18,2012,Jun,weekday,0.174746,5099
2012-06-19,2012,Jun,weekday,0.148017,6825
2012-06-20,2012,Jun,weekday,0.113812,6211
2012-06-21,2012,Jun,weekday,0.118787,5905
2012-06-22,2012,Jun,weekday,0.182842,5823
2012-06-23,2012,Jun,weekend,0.179721,7458
2012-06-24,2012,Jun,weekend,0.145525,6891
